coarse_agg_weight,fine_agg_weight,current_weight,fly_ash_weight,AEA_dose,type_awra_dose,W/(C+P),design_strength,actual_strength,poor_strength,overdesign
17175,15900,3965,990,0,3.96,0.54,3000,4580,no,1.526666667
17100,15650,3970,985,0,3.96,0.53,3000,4110,no,1.37
17075,15625,3950,985,0,3.89,0.5,3000,5290,no,1.763333333
17225,15450,3945,995,0,3.97,0.52,3000,4600,no,1.533333333
17150,15575,3950,985,0,3.89,0.54,3000,4630,no,1.543333333
16780,15920,3950,995,0,4,0.52,3000,5330,no,1.776666667
16820,15960,3970,985,0,4,0.51,3000,4780,no,1.593333333
16840,16120,3955,995,0,4,0.52,3000,5570,no,1.856666667
16800,15860,3970,1020,0,3.91,0.53,3000,4950,no,1.65
17160,15720,3930,990,0,4.02,0.43,3000,4830,no,1.61
17060,15480,3935,985,0,4.02,0.53,3000,4640,no,1.546666667
17100,15480,3975,1010,0,3.97,0.52,3000,4060,no,1.353333333
5120,4680,1180,285,0,3.96,0.54,3000,4180,no,1.393333333
17400,16200,3965,975,0,3.95,0.57,3000,3050,no,1.016666667
6940,5740,1475,500,0.39,4.05,0.45,3000,3980,no,1.326666667
16640,14720,4305,1090,0,6.01,0.51,3000,5100,no,1.7
16875,14925,4305,1070,0,6.07,0.52,3000,4830,no,1.61
13500,11775,3435,855,0,6.04,0.52,3000,4630,no,1.543333333
16900,14800,4340,1080,0,6.01,0.51,3000,4920,no,1.64
15225,13400,3890,970,0,6.07,0.52,3000,4970,no,1.656666667
8260,20460,6045,0,0.12,4.04,0.55,3000,6330,no,2.11
11800,18500,4160,1030,0.22,4.01,0.46,3000,3800,no,1.266666667
3720,5730,2316,0,0.52,0,0.36,3500,5920,no,1.691428571
3720,5730,2316,0,0.35,0,0.38,3500,5240,no,1.497142857
3180,4980,1980,0,0.25,0,0.41,3500,4780,no,1.365714286
3150,7500,2664,0,0.49,0,0.47,3500,4300,no,1.228571429
3930,9300,3306,0,0.48,0,0.5,3500,3630,no,1.037142857
10440,16240,5940,675,0.5,0,0.41,3500,5840,no,1.668571429
11660,17740,6535,720,0.22,0,0.47,3500,5960,no,1.702857143
11620,17940,6545,740,0.25,0,0.46,3500,5480,no,1.565714286
8040,11960,4440,490,0.16,0,0.34,3500,6640,no,1.897142857
15520,13520,4915,1200,0.33,4.96,0.4,3500,6040,no,1.725714286
8400,18360,5496,1002,0.49,3.51,0.51,3500,3970,no,1.134285714
8370,18510,5496,990,0.39,3.52,0.48,3500,5690,no,1.625714286
8400,18450,5496,996,0.37,3.45,0.42,3500,5990,no,1.711428571
8300,18820,5460,990,0.2,3.5,0.51,3500,5270,no,1.505714286
8260,18500,5530,1000,0.18,3.46,0.51,3500,5530,no,1.58
8320,18520,5480,1020,0.31,3.51,0.43,3500,4780,no,1.365714286
8380,18540,5470,1015,0.29,3.52,0.41,3500,5380,no,1.537142857
8320,18360,5520,1020,0.31,3.46,0.41,3500,5490,no,1.568571429
8300,19060,5520,1005,0.29,3.49,0.42,3500,5340,no,1.525714286
8320,18700,5500,1015,0.29,3.47,0.43,3500,6250,no,1.785714286
8780,18880,5490,1005,0.29,3.51,0.42,3500,6020,no,1.72
16590,13500,5592,0,0.59,0,0.51,3500,4660,no,1.331428571
16620,13740,5604,0,0.64,0,0.51,3500,5190,no,1.482857143
16540,13260,5580,0,0.36,0,0.51,3500,5160,no,1.474285714
11760,8670,3792,0,0.4,0,0.48,3500,7970,no,2.277142857
5040,3840,1686,0,0.89,0,0.35,3500,6150,no,1.757142857
17310,13050,5598,0,0.61,0,0.49,3500,4450,no,1.271428571
17370,13020,5598,0,0.59,0,0.49,3500,4900,no,1.4
17340,12930,5610,0,0.61,0,0.48,3500,4250,no,1.214285714
17310,12960,5604,0,0.61,0,0.48,3500,4080,no,1.165714286
17310,13020,5604,0,0.66,0,0.46,3500,4030,no,1.151428571
17310,12990,5604,0,0.64,0,0.47,3500,4070,no,1.162857143
6725,4900,2150,0,0.63,0,0.47,3500,4590,no,1.311428571
16800,12925,5610,0,0.71,0,0.46,3500,4520,no,1.291428571
16850,12825,5605,0,0.78,0,0.45,3500,4940,no,1.411428571
16850,12850,5605,0,0.78,0,0.45,3500,4970,no,1.42
17580,13280,5760,0,0.59,0,0.45,3500,4840,no,1.382857143
10500,7780,3355,0,0.72,0,0.46,3500,3790,no,1.082857143
7600,5960,2650,0,0.55,0,0.46,3500,4780,no,1.365714286
17300,13300,5615,0,0.5,0,0.45,3500,4990,no,1.425714286
17200,13300,5625,0,0.5,0,0.46,3500,5050,no,1.442857143
17540,12500,5605,0,0.52,0,0.45,3500,5220,no,1.491428571
16940,13140,5615,0,0.46,0,0.48,3500,4440,no,1.268571429
16760,13040,5615,0,0.45,0,0.48,3500,5670,no,1.62
16860,13080,5620,0,0.43,0,0.48,3500,4810,no,1.374285714
18510,13550,5315,0,0.35,3.46,0.44,3500,4610,no,1.317142857
17590,12910,5055,0,0.27,3.48,0.44,3500,4480,no,1.28
14100,12025,4040,0,0,3.47,0.52,3500,5070,no,1.448571429
17660,15120,5040,0,0,3.49,0.53,3500,4260,no,1.217142857
17340,13590,4200,1056,0.61,3.96,0.46,3500,5260,no,1.502857143
17370,13560,4206,1056,0.49,3.95,0.45,3500,5640,no,1.611428571
17430,13740,4212,1050,0.36,3.95,0.46,3500,5170,no,1.477142857
17370,13740,4212,1056,0.36,3.95,0.47,3500,4870,no,1.391428571
17400,13620,4200,1044,0.46,4.04,0.47,3500,5220,no,1.491428571
17460,13650,4206,1056,0.38,4.03,0.47,3500,5220,no,1.491428571
17460,13590,4206,1050,0.38,4.11,0.46,3500,5000,no,1.428571429
17370,13890,4212,1050,0.34,4.03,0.45,3500,4380,no,1.251428571
17430,13920,4212,1056,0.28,4.1,0.44,3500,4820,no,1.377142857
17430,13890,4230,1050,0.38,3.94,0.47,3500,4500,no,1.285714286
17430,13920,4200,1050,0.38,4.04,0.45,3500,4750,no,1.357142857
17550,13770,4200,1056,0.25,3.96,0.45,3500,4760,no,1.36
17400,13800,4220,1045,0.57,3.95,0.42,3500,5340,no,1.525714286
17425,13650,4210,1045,0.54,3.96,0.45,3500,5080,no,1.451428571
17375,13675,4205,1050,0.48,3.96,0.42,3500,4720,no,1.348571429
17550,13550,4205,1045,0.5,4.04,0.42,3500,5330,no,1.522857143
17550,13500,4205,1050,0.41,3.96,0.43,3500,4400,no,1.257142857
17060,14020,4190,1055,0.4,4,0.45,3500,4560,no,1.302857143
17080,14100,4240,1070,0.4,3.95,0.43,3500,3370,yes,0.962857143
15420,15240,4146,1104,0.5,0,0.52,3500,3020,yes,0.862857143
16920,16860,4566,1212,0.5,0,0.51,3500,4410,no,1.26
8940,9360,2646,660,0.39,3.63,0.47,3500,6160,no,1.76
14900,15525,4395,1095,0.5,3.5,0.46,3500,4840,no,1.382857143
15000,15675,4395,1095,0.37,3.5,0.42,3500,4320,no,1.234285714
14900,15475,4405,1105,0.48,3.48,0.44,3500,5070,no,1.448571429
14850,15575,4400,1095,0.34,3.49,0.42,3500,5510,no,1.574285714
14950,15375,4395,1100,0.32,3.49,0.41,3500,5570,no,1.591428571
14925,15400,4420,1100,0.32,3.48,0.41,3500,4130,no,1.18
14950,15450,4395,1140,0.44,3.47,0.42,3500,3870,no,1.105714286
14925,15575,4405,1110,0.35,3.55,0.41,3500,4270,no,1.22
14900,15350,4410,1115,0,3.44,0.46,3500,3570,no,1.02
14875,15475,4390,1105,0.6,3.46,0.45,3500,3680,no,1.051428571
14875,15625,4395,1085,0.31,3.5,0.45,3500,4730,no,1.351428571
14875,15650,4395,1085,0.29,3.5,0.45,3500,4480,no,1.28
18750,15870,5640,0,0.35,3.05,0.5,3500,5260,no,1.502857143
18750,15810,5640,0,0.41,3.05,0.5,3500,5230,no,1.494285714
17070,14220,5148,0,0.35,3.03,0.5,3500,5490,no,1.568571429
18780,15840,5652,0,0.35,2.97,0.5,3500,4810,no,1.374285714
17220,14190,5118,0,0.35,3.05,0.5,3500,5360,no,1.531428571
17040,14190,5124,0,0.45,3.04,0.5,3500,4810,no,1.374285714
19020,15570,5646,0,0.44,2.98,0.5,3500,4630,no,1.322857143
18960,15300,5658,0,0.46,3.04,0.49,3500,4550,no,1.3
18840,15360,5634,0,0.44,2.98,0.49,3500,4700,no,1.342857143
18870,15630,5646,0,0.39,2.98,0.49,3500,5180,no,1.48
18990,15570,5640,0,0.5,2.98,0.48,3500,4500,no,1.285714286
18810,15690,5640,0,0.35,2.98,0.49,3500,4710,no,1.345714286
19110,15390,5634,0,0.41,2.98,0.5,3500,4820,no,1.377142857
19080,15300,5634,0,0.5,2.98,0.5,3500,4490,no,1.282857143
17250,14220,5118,0,0.49,3.05,0.5,3500,4720,no,1.348571429
18990,15540,5664,0,0.44,2.97,0.5,3500,4610,no,1.317142857
19050,15570,5640,0,0.44,3.05,0.5,3500,4600,no,1.314285714
19020,15600,5646,0,0.44,2.98,0.5,3500,3890,no,1.111428571
18870,15510,5640,0,0.46,2.98,0.5,3500,4260,no,1.217142857
18840,15570,5670,0,0.44,2.96,0.49,3500,4670,no,1.334285714
17190,14190,5130,0,0.37,3.04,0.46,3500,5360,no,1.531428571
17160,14220,5142,0,0.31,3.03,0.48,3500,5320,no,1.52
17300,13850,5165,0,0.32,2.94,0.45,3500,4560,no,1.302857143
17250,13775,5115,0,0.32,3.05,0.47,3500,5240,no,1.497142857
16720,14160,5130,0,0.74,2.98,0.5,3500,4900,no,1.4
18780,15460,5630,0,0.46,3.02,0.48,3500,4910,no,1.402857143
17060,14940,5110,0,0.45,3.01,0.53,3500,4530,no,1.294285714
18780,16220,5650,0,0.55,2.97,0.53,3500,4810,no,1.374285714
18820,15880,5645,0,0.5,3.01,0.51,3500,5330,no,1.522857143
1714,1355,513,0,0.9,3,0.52,3500,7380,no,2.108571429
18740,15760,5675,0,0.46,2.96,0.53,3500,4180,no,1.194285714
18820,15860,5620,0,0.44,3.02,0.5,3500,5090,no,1.454285714
17480,14340,5100,0,0.45,3.02,0.51,3500,4200,no,1.2
18840,15620,5660,0,0.39,3,0.53,3500,4820,no,1.377142857
19000,15560,5615,0,0.41,3.03,0.46,3500,4510,no,1.288571429
6750,5730,2064,0,0.48,0,0.49,3500,4740,no,1.354285714
17010,14310,5190,0,0.5,0,0.5,3500,4490,no,1.282857143
17010,14220,5178,0,0.48,0,0.49,3500,4220,no,1.205714286
12250,10150,3975,0,0,0,0.48,3500,5480,no,1.565714286
17425,14450,5645,0,0,0,0.47,3500,5380,no,1.537142857
17190,15510,5118,0,0,3.05,0.53,3500,4370,no,1.248571429
17160,15480,5142,0,0,3.03,0.53,3500,4270,no,1.22
